title,brand,category,rating,rating_count_num,sold,price,original_price_num,savings,discount_pct,currency,delivery,link
"Kids Pretty Girl Doll Projector Watch for Girls-Kids Ben 10 Display Projector Watch For Kids - Doraemon, Kitty Cat, Minions Despicable Frozen and Chota Beem Cartoon Watch For Boys and Girls",Kids,Kids Watches,4.5,22,135,590.0,,,0.0,Rs.,Free Delivery,//www.daraz.pk/products/10-i426133472-s2064641371.html?search=1
Total 2 Watchs Digital LED Watch For Boys & Kids-Black Watch for girls Smart Watch for Kids Latest LED Watch for boys & girls Led Round Digital Watches for Kid Girl boys,Total,Kids Watches,5.0,5,42,279.0,333.0,54.0,16.22,Rs.,Free Delivery,//www.daraz.pk/products/2-led-led-led-i437414554-s2104241378.html?search=1
Barbie Watch For Baby Girl.,Barbie,Kids Watches,5.0,4,0,235.0,239.0,4.0,1.67,Rs.,Free Delivery,//www.daraz.pk/products/-i450447223-s2143586795.html?search=1
"Projector Light Digital Watch For Kids, Kids Projector Wrist Watch 24 Images Increase your child mind creativity through these images",Projector,Kids Watches,3.8,4,36,420.0,699.0,279.0,39.91,Rs.,0,//www.daraz.pk/products/24-i435264053-s2089379606.html?search=1
Kids Watch Sport LED Digital Watches Spaceman Silicone Strap Electronic Wristwatch for Children Boys Girls,Kids,Kids Watches,0.0,0,0,499.0,,,0.0,Rs.,0,//www.daraz.pk/products/led-i462515073-s2190279176.html?search=1
Kids Mosquito Watch or Mosquito Watch For Children,Kids,Kids Watches,4.2,6,31,280.0,999.0,719.0,71.97,Rs.,Free Delivery,//www.daraz.pk/products/-i438545168-s2126975915.html?search=1
Kids Character Mcqueen Watch Digital Scale Strip Watch For Kids- Boys & Girls,Kids,Kids Watches,4.6,30,194,349.0,599.0,250.0,41.74,Rs.,0,//www.daraz.pk/products/-i363757653-s1814991358.html?search=1
Creative Cartoon Rabbit Electronic Watch With Silicon Belt For Children,Creative,Kids Watches,4.6,120,586,1069.0,1660.0,591.0,35.6,Rs.,0,//www.daraz.pk/products/-i133712289-s1294120694.html?search=1
3D Cartoon Character New Fashion Analogue Watch for kids Baby Baba,3D,Kids Watches,5.0,2,0,270.0,350.0,80.0,22.86,Rs.,0,//www.daraz.pk/products/3d-i457412546-s2165389544.html?search=1
Spiderman Character Wrost watch with light & Spinner,Spiderman,Kids Watches,5.0,2,0,599.0,750.0,151.0,20.13,Rs.,Free Delivery,//www.daraz.pk/products/-i451767388-s2147379752.html?search=1
New Children's Timekeeping Silicone Watches Are Stylish And Available In A Variety Of Colours,New,Kids Watches,4.0,2,0,275.0,800.0,525.0,65.62,Rs.,0,//www.daraz.pk/products/-i446246548-s2146866095.html?search=1
Kids smart watch water resistant,Kids,Kids Watches,4.7,3,30,200.0,,,0.0,Rs.,Free Delivery,//www.daraz.pk/products/-i433912513-s2081814931.html?search=1
CN Network Cartoon Characters Analog Wrist Watch For Kids Boys Girls All colors Available,CN,Kids Watches,0.0,0,0,227.0,650.0,423.0,65.08,Rs.,Free Delivery,//www.daraz.pk/products/cn-i423735467-s2007064029.html?search=1
Kids Character Spiderman Watch Digital Scale Strip Watch For Kids- Boys & Girls,Kids,Kids Watches,4.7,118,846,224.0,399.0,175.0,43.86,Rs.,0,//www.daraz.pk/products/-i389336019-s1913539091.html?search=1
Cartoon Car Children Watch | car watch for Boy Baby Fashion,Cartoon,Kids Watches,5.0,1,30,235.0,600.0,365.0,60.83,Rs.,Free Delivery,//www.daraz.pk/products/-i461288904-s2185730504.html?search=1
Children Sports Watch Robot Action Figures Transformation T,Children,Kids Watches,3.2,9,57,699.0,999.0,300.0,30.03,Rs.,0,//www.daraz.pk/products/t-i214099430-s1422841349.html?search=1
Cute Electronic Toy Watch For Kids Different Character Cartoon Kids Watch Boys & Girls,Cute,Kids Watches,4.6,5,38,549.0,899.0,350.0,38.93,Rs.,0,//www.daraz.pk/products/-i431891143-s2059619302.html?search=1
